Stage,Name,Client_Revenue,Region,Client_Domain,Existing_Customer,TCS_Revenue,TCS_Domain,TimeStamp,ID
Stage 1,A Plus Lawn Care,185435.91541511528,UK,BFSI,1,6219.0,Application development and maintenance,2021-01-08 20:20:14.998724,0
Stage 2,A Plus Lawn Care,185435.91541511528,UK,BFSI,1,6219.0,Application development and maintenance,2021-02-16 20:20:14.998724,0
Stage 4,A Plus Lawn Care,185435.91541511528,UK,BFSI,1,6219.0,Application development and maintenance,2021-06-26 20:20:14.998724,0
Stage 5,A Plus Lawn Care,185435.91541511528,UK,BFSI,1,6219.0,Application development and maintenance,2021-08-07 20:20:14.998724,0
Stage 8,A Plus Lawn Care,185435.91541511528,UK,BFSI,1,6219.0,Application development and maintenance,2021-11-21 20:20:14.998724,0
Stage 1,A+ Electronics,133081.47497186577,north america,Retail & Distribution,1,12756.0,Asset leverage solutions,2020-01-07 20:20:14.998724,1
Stage 2,A+ Electronics,133081.47497186577,north america,Retail & Distribution,1,12756.0,Asset leverage solutions,2020-01-09 20:20:14.998724,1
Stage 3,A+ Electronics,133081.47497186577,north america,Retail & Distribution,1,12756.0,Asset leverage solutions,2020-01-18 20:20:14.998724,1
Stage 9,A+ Electronics,133081.47497186577,north america,Retail & Distribution,1,12756.0,Asset leverage solutions,2020-03-12 20:20:14.998724,1
Stage 1,A+ Investments,222053.54214338496,north america,Manufacturing,0,16658.56925913462,Consulting,2020-10-20 20:20:14.998724,2
Stage 9,A+ Investments,222053.54214338496,north america,Manufacturing,0,16658.56925913462,Consulting,2021-01-06 20:20:14.998724,2
Stage 1,A21,121333.0,north america,Telecom,1,6915.0,Application development and maintenance,2021-01-29 20:20:14.998724,3
Stage 2,A21,121333.0,north america,Telecom,1,6915.0,Application development and maintenance,2021-05-30 20:20:14.998724,3
Stage 9,A21,121333.0,north america,Telecom,1,6915.0,Application development and maintenance,2021-06-10 20:20:14.998724,3
Stage 1,"Aaron'S, Inc.",138483.0,north america,Retail & Distribution,1,7025.0,Engineering and Industrial services,2020-09-20 20:20:14.998724,4
Stage 2,"Aaron'S, Inc.",138483.0,north america,Retail & Distribution,1,7025.0,Engineering and Industrial services,2021-04-10 20:20:14.998724,4
Stage 9,"Aaron'S, Inc.",138483.0,north america,Retail & Distribution,1,7025.0,Engineering and Industrial services,2021-06-11 20:20:14.998724,4
Stage 1,Abbott Laboratories,91940.0,europe,BFSI,1,11517.952373512751,Application development and maintenance,2020-05-14 20:20:14.998724,5
Stage 9,Abbott Laboratories,91940.0,europe,BFSI,1,11517.952373512751,Application development and maintenance,2020-07-29 20:20:14.998724,5
Stage 1,Abercrombie & Fitch,174889.31677278687,north america,Hi-Tech,1,5003.9517335961145,Application development and maintenance,2020-06-12 20:20:14.998724,6
Stage 9,Abercrombie & Fitch,174889.31677278687,north america,Hi-Tech,1,5003.9517335961145,Application development and maintenance,2020-06-23 20:20:14.998724,6
