Stage,Name,Client_Revenue,Region,Client_Domain,Existing_Customer,TCS_Revenue,TCS_Domain,TimeStamp,ID
Stage 1,A Plus Lawn Care,251114.77389802545,north america,Healthcare,1,4487.26973596075,Cloud Infrastructure,2020-05-25 20:17:37.325647,0
Stage 9,A Plus Lawn Care,251114.77389802545,north america,Healthcare,1,4487.26973596075,Cloud Infrastructure,2020-06-30 20:17:37.325647,0
Stage 1,A+ Electronics,191404.59548862145,north america,BFSI,1,3746.0,IT infrastructure services,2021-04-25 20:17:37.325647,1
Stage 9,A+ Electronics,191404.59548862145,north america,BFSI,1,3746.0,IT infrastructure services,2021-04-29 20:17:37.325647,1
Stage 1,A+ Investments,246067.16713146557,north america,Telecom,1,10990.809563237872,Assurance services,2020-11-25 20:17:37.325647,2
Stage 9,A+ Investments,246067.16713146557,north america,Telecom,1,10990.809563237872,Assurance services,2021-05-16 20:17:37.325647,2
Stage 1,A21,147023.0,north america,BFSI,1,27419.50633890458,Engineering and Industrial services,2020-12-13 20:17:37.325647,3
Stage 9,A21,147023.0,north america,BFSI,1,27419.50633890458,Engineering and Industrial services,2021-05-25 20:17:37.325647,3
Stage 1,"Aaron'S, Inc.",105127.04176776338,north america,BFSI,1,19264.481589553077,IT infrastructure services,2020-11-22 20:17:37.325647,4
Stage 2,"Aaron'S, Inc.",105127.04176776338,north america,BFSI,1,19264.481589553077,IT infrastructure services,2020-11-26 20:17:37.325647,4
Stage 3,"Aaron'S, Inc.",105127.04176776338,north america,BFSI,1,19264.481589553077,IT infrastructure services,2021-03-08 20:17:37.325647,4
Stage 4,"Aaron'S, Inc.",105127.04176776338,north america,BFSI,1,19264.481589553077,IT infrastructure services,2021-06-11 20:17:37.325647,4
Stage 5,"Aaron'S, Inc.",105127.04176776338,north america,BFSI,1,19264.481589553077,IT infrastructure services,2021-10-06 20:17:37.325647,4
Stage 6,"Aaron'S, Inc.",105127.04176776338,north america,BFSI,1,19264.481589553077,IT infrastructure services,2021-12-30 20:17:37.325647,4
Stage 7,"Aaron'S, Inc.",105127.04176776338,north america,BFSI,1,19264.481589553077,IT infrastructure services,2022-04-01 20:17:37.325647,4
Stage 8,"Aaron'S, Inc.",105127.04176776338,north america,BFSI,1,19264.481589553077,IT infrastructure services,2022-05-04 20:17:37.325647,4
Stage 1,Abbott Laboratories,117886.74222909047,north america,Healthcare,1,14625.927008631514,Asset leverage solutions,2019-02-02 20:17:37.325647,5
Stage 9,Abbott Laboratories,117886.74222909047,north america,Healthcare,1,14625.927008631514,Asset leverage solutions,2019-10-07 20:17:37.325647,5
Stage 1,Abercrombie & Fitch,213895.8010566397,others,BFSI,1,-1226.5011867478433,Application development and maintenance,2021-02-05 20:17:37.325647,6
Stage 9,Abercrombie & Fitch,213895.8010566397,others,BFSI,1,-1226.5011867478433,Application development and maintenance,2021-03-05 20:17:37.325647,6
Stage 1,Abm Industries,182198.6362975504,north america,Retail & Distribution,0,4599.0,IT infrastructure services,2021-03-15 20:17:37.325647,7
Stage 11,Abm Industries,182198.6362975504,north america,Retail & Distribution,0,4599.0,IT infrastructure services,2021-05-17 20:17:37.325647,7
Stage 1,Abx Air,156535.67890820658,india,BFSI,1,4476.295219742746,Application development and maintenance,2020-10-13 20:17:37.325647,8
Stage 9,Abx Air,156535.67890820658,india,BFSI,1,4476.295219742746,Application development and maintenance,2020-10-20 20:17:37.325647,8
Stage 1,Ac Lens,192034.38072353587,europe,BFSI,1,5375.114452392143,Asset leverage solutions,2020-02-13 20:17:37.325647,9
Stage 9,Ac Lens,192034.38072353587,europe,BFSI,1,5375.114452392143,Asset leverage solutions,2020-10-03 20:17:37.325647,9
Stage 1,Access Asia,127618.5696584341,north america,BFSI,1,21772.10035235394,Cognitive Business Operations,2019-11-15 20:17:37.325647,10
Stage 2,Access Asia,127618.5696584341,north america,BFSI,1,21772.10035235394,Cognitive Business Operations,2019-12-22 20:17:37.325647,10
Stage 3,Access Asia,127618.5696584341,north america,BFSI,1,21772.10035235394,Cognitive Business Operations,2020-03-18 20:17:37.325647,10
Stage 9,Access Asia,127618.5696584341,north america,BFSI,1,21772.10035235394,Cognitive Business Operations,2020-05-24 20:17:37.325647,10
Stage 1,Acco Brands,121722.0,europe,Others,0,11354.0,Automation and AI,2020-07-23 20:17:37.325647,11
Stage 3,Acco Brands,121722.0,europe,Others,0,11354.0,Automation and AI,2020-08-14 20:17:37.325647,11
Stage 4,Acco Brands,121722.0,europe,Others,0,11354.0,Automation and AI,2020-10-14 20:17:37.325647,11
Stage 9,Acco Brands,121722.0,europe,Others,0,11354.0,Automation and AI,2020-11-25 20:17:37.325647,11
Stage 1,Accord Investments,52806.75096093309,north america,Healthcare,1,5421.0,IT infrastructure services,2020-07-02 20:17:37.325647,12
Stage 9,Accord Investments,52806.75096093309,north america,Healthcare,1,5421.0,IT infrastructure services,2020-10-04 20:17:37.325647,12
Stage 1,Accuquote,139921.72214657633,north america,BFSI,1,7994.0,Application development and maintenance,2021-04-08 20:17:37.325647,13
Stage 9,Accuquote,139921.72214657633,north america,BFSI,1,7994.0,Application development and maintenance,2021-05-17 20:17:37.325647,13
Stage 1,Ace Hardware,149597.2042748852,asia-pacific,BFSI,1,12280.537702986214,Cloud Infrastructure,2021-02-09 20:17:37.325647,14
Stage 3,Ace Hardware,149597.2042748852,asia-pacific,BFSI,1,12280.537702986214,Cloud Infrastructure,2021-02-25 20:17:37.325647,14
Stage 6,Ace Hardware,149597.2042748852,asia-pacific,BFSI,1,12280.537702986214,Cloud Infrastructure,2021-06-19 20:17:37.325647,14
Stage 7,Ace Hardware,149597.2042748852,asia-pacific,BFSI,1,12280.537702986214,Cloud Infrastructure,2021-06-27 20:17:37.325647,14
Stage 8,Ace Hardware,149597.2042748852,asia-pacific,BFSI,1,12280.537702986214,Cloud Infrastructure,2021-08-02 20:17:37.325647,14
Stage 1,Acme Brick Company,64730.154937541854,middle east and africa,Manufacturing,1,3673.442854025181,Automation and AI,2020-04-10 20:17:37.325647,15
Stage 2,Acme Brick Company,64730.154937541854,middle east and africa,Manufacturing,1,3673.442854025181,Automation and AI,2020-04-18 20:17:37.325647,15
Stage 3,Acme Brick Company,64730.154937541854,middle east and africa,Manufacturing,1,3673.442854025181,Automation and AI,2020-09-11 20:17:37.325647,15
Stage 9,Acme Brick Company,64730.154937541854,middle east and africa,Manufacturing,1,3673.442854025181,Automation and AI,2020-10-15 20:17:37.325647,15
Stage 1,Acn Inc.,86818.6027994468,latin america,BFSI,0,6874.0,Cloud Infrastructure,2021-03-16 20:17:37.325647,16
Stage 2,Acn Inc.,86818.6027994468,latin america,BFSI,0,6874.0,Cloud Infrastructure,2021-04-12 20:17:37.325647,16
Stage 9,Acn Inc.,86818.6027994468,latin america,BFSI,0,6874.0,Cloud Infrastructure,2021-05-17 20:17:37.325647,16
Stage 1,Activision Blizzard,242422.8930788383,north america,Others,0,19856.25472898847,IT infrastructure services,2020-03-02 20:17:37.325647,17
Stage 9,Activision Blizzard,242422.8930788383,north america,Others,0,19856.25472898847,IT infrastructure services,2020-03-17 20:17:37.325647,17
Stage 1,Acuity Brands,110360.74233208594,north america,Others,0,16343.650989202102,Business process outsourcing,2021-04-02 20:17:37.325647,18
Stage 9,Acuity Brands,110360.74233208594,north america,Others,0,16343.650989202102,Business process outsourcing,2021-05-20 20:17:37.325647,18
Stage 1,Acuserv,92522.09580242768,north america,Travel and Hospitality,0,19447.318035931978,Asset leverage solutions,2021-03-23 20:17:37.325647,19
Stage 2,Acuserv,92522.09580242768,north america,Travel and Hospitality,0,19447.318035931978,Asset leverage solutions,2021-04-03 20:17:37.325647,19
Stage 4,Acuserv,92522.09580242768,north america,Travel and Hospitality,0,19447.318035931978,Asset leverage solutions,2021-04-03 20:17:37.325647,19
Stage 5,Acuserv,92522.09580242768,north america,Travel and Hospitality,0,19447.318035931978,Asset leverage solutions,2021-04-06 20:17:37.325647,19
Stage 7,Acuserv,92522.09580242768,north america,Travel and Hospitality,0,19447.318035931978,Asset leverage solutions,2021-04-27 20:17:37.325647,19
Stage 8,Acuserv,92522.09580242768,north america,Travel and Hospitality,0,19447.318035931978,Asset leverage solutions,2021-05-02 20:17:37.325647,19
Stage 1,Adapt,214213.15012799212,north america,BFSI,1,23454.00626357746,IT infrastructure services,2019-08-15 20:17:37.325647,20
Stage 2,Adapt,214213.15012799212,north america,BFSI,1,23454.00626357746,IT infrastructure services,2019-08-25 20:17:37.325647,20
Stage 3,Adapt,214213.15012799212,north america,BFSI,1,23454.00626357746,IT infrastructure services,2019-12-27 20:17:37.325647,20
Stage 4,Adapt,214213.15012799212,north america,BFSI,1,23454.00626357746,IT infrastructure services,2021-03-10 20:17:37.325647,20
Stage 9,Adapt,214213.15012799212,north america,BFSI,1,23454.00626357746,IT infrastructure services,2021-07-12 20:17:37.325647,20
Stage 1,Adaptabiz,92152.95041856122,north america,Travel and Hospitality,1,4090.7750997386115,Application development and maintenance,2019-08-01 20:17:37.325647,21
Stage 9,Adaptabiz,92152.95041856122,north america,Travel and Hospitality,1,4090.7750997386115,Application development and maintenance,2019-11-04 20:17:37.325647,21
Stage 1,Adaptas,90730.4181860314,india,BFSI,1,5341.116100411914,Application development and maintenance,2021-03-20 20:17:37.325647,22
Stage 2,Adaptas,90730.4181860314,india,BFSI,1,5341.116100411914,Application development and maintenance,2021-04-13 20:17:37.325647,22
Stage 4,Adaptas,90730.4181860314,india,BFSI,1,5341.116100411914,Application development and maintenance,2021-05-12 20:17:37.325647,22
Stage 11,Adaptas,90730.4181860314,india,BFSI,1,5341.116100411914,Application development and maintenance,2021-06-07 20:17:37.325647,22
Stage 1,Adaptaz,68563.0,north america,Retail & Distribution,1,19249.70159394786,Business process outsourcing,2021-05-01 20:17:37.325647,23
Stage 9,Adaptaz,68563.0,north america,Retail & Distribution,1,19249.70159394786,Business process outsourcing,2021-05-19 20:17:37.325647,23
Stage 1,Adaptec,66773.48522884725,north america,Manufacturing,1,25502.003132443468,IT infrastructure services,2020-01-22 20:17:37.325647,24
Stage 9,Adaptec,66773.48522884725,north america,Manufacturing,1,25502.003132443468,IT infrastructure services,2020-05-22 20:17:37.325647,24
Stage 1,Adc Telecommunications,261901.066839267,north america,BFSI,1,26023.439952693647,Application development and maintenance,2019-09-06 20:17:37.325647,25
Stage 2,Adc Telecommunications,261901.066839267,north america,BFSI,1,26023.439952693647,Application development and maintenance,2020-01-04 20:17:37.325647,25
Stage 11,Adc Telecommunications,261901.066839267,north america,BFSI,1,26023.439952693647,Application development and maintenance,2021-02-09 20:17:37.325647,25
Stage 1,Adobe Systems Inc.,138781.90479004942,north america,BFSI,1,15167.455390907347,Application development and maintenance,2020-08-30 20:17:37.325647,26
Stage 9,Adobe Systems Inc.,138781.90479004942,north america,BFSI,1,15167.455390907347,Application development and maintenance,2021-01-13 20:17:37.325647,26
Stage 1,Advance Auto Parts,84199.0,europe,BFSI,0,2175.8464412384715,Cognitive Business Operations,2020-04-18 20:17:37.325647,27
Stage 9,Advance Auto Parts,84199.0,europe,BFSI,0,2175.8464412384715,Cognitive Business Operations,2020-05-31 20:17:37.325647,27
Stage 1,Advanced Micro Devices,112498.0482355038,europe,Retail & Distribution,1,4516.935025402885,Assurance services,2019-03-11 20:17:37.325647,28
Stage 1,Advanced Micro Devices,112498.0482355038,europe,Retail & Distribution,1,7738.589609319357,Cognitive Business Operations,2020-10-08 20:17:37.325647,28
Stage 2,Advanced Micro Devices,110467.78882108812,north america,BFSI,1,4516.935025402885,Assurance services,2020-10-11 20:17:37.325647,28
Stage 2,Advanced Micro Devices,110467.78882108812,north america,BFSI,1,7738.589609319357,Cognitive Business Operations,2020-10-11 20:17:37.325647,28
Stage 2,Advanced Micro Devices,112498.0482355038,europe,Retail & Distribution,1,4516.935025402885,Assurance services,2020-10-11 20:17:37.325647,28
Stage 2,Advanced Micro Devices,112498.0482355038,europe,Retail & Distribution,1,7738.589609319357,Cognitive Business Operations,2020-10-11 20:17:37.325647,28
Stage 11,Advanced Micro Devices,110467.78882108812,north america,BFSI,1,4516.935025402885,Assurance services,2020-12-17 20:17:37.325647,28
Stage 11,Advanced Micro Devices,110467.78882108812,north america,BFSI,1,7738.589609319357,Cognitive Business Operations,2020-12-17 20:17:37.325647,28
Stage 11,Advanced Micro Devices,112498.0482355038,europe,Retail & Distribution,1,4516.935025402885,Assurance services,2020-12-17 20:17:37.325647,28
Stage 11,Advanced Micro Devices,112498.0482355038,europe,Retail & Distribution,1,7738.589609319357,Cognitive Business Operations,2020-12-17 20:17:37.325647,28
Stage 1,Advanced Micro Devices,110467.78882108812,north america,BFSI,1,7738.589609319357,Cognitive Business Operations,2021-05-01 20:17:37.325647,28
Stage 1,Advanced Micro Devices,110467.78882108812,north america,BFSI,1,4516.935025402885,Assurance services,2021-06-03 20:17:37.325647,28
Stage 1,Advanced Processing & Imaging,215140.26270483053,north america,Manufacturing,0,5774.0,Application development and maintenance,2021-04-06 20:17:37.325647,29
Stage 2,Advanced Processing & Imaging,215140.26270483053,north america,Manufacturing,0,5774.0,Application development and maintenance,2021-04-22 20:17:37.325647,29
Stage 4,Advanced Processing & Imaging,215140.26270483053,north america,Manufacturing,0,5774.0,Application development and maintenance,2021-05-05 20:17:37.325647,29
Stage 11,Advanced Processing & Imaging,215140.26270483053,north america,Manufacturing,0,5774.0,Application development and maintenance,2021-05-23 20:17:37.325647,29
Stage 1,Advansed Teksyztems,250961.75137694707,europe,BFSI,0,10562.0,Consulting,2020-07-03 20:17:37.325647,30
Stage 2,Advansed Teksyztems,250961.75137694707,europe,BFSI,0,10562.0,Consulting,2020-09-10 20:17:37.325647,30
Stage 11,Advansed Teksyztems,250961.75137694707,europe,BFSI,0,10562.0,Consulting,2020-09-21 20:17:37.325647,30
Stage 1,Aecom,95315.0,north america,BFSI,1,13800.0,Cloud Infrastructure,2020-09-02 20:17:37.325647,31
Stage 9,Aecom,95315.0,north america,BFSI,1,13800.0,Cloud Infrastructure,2020-10-02 20:17:37.325647,31
Stage 1,Aes Corporation,129599.19938775062,north america,Retail & Distribution,0,4260.0,Business process outsourcing,2020-12-02 20:17:37.325647,32
